Sample in Buffer,Sample in Window,TRIGGER,dds_m_tvalid_out,dds_m_reset_out,ila_probe3[15:0]
0,0,1,1,0,32765
1,1,0,1,0,32763
2,2,0,1,0,32760
3,3,0,1,0,32756
4,4,0,1,0,32750
5,5,0,1,0,32743
6,6,0,1,0,32734
7,7,0,1,0,32725
8,8,0,1,0,32714
9,9,0,1,0,32701
10,10,0,1,0,32688
11,11,0,1,0,32673
12,12,0,1,0,32657
13,13,0,1,0,32639
14,14,0,1,0,32620
15,15,0,1,0,32601
16,16,0,1,0,32579
17,17,0,1,0,32557
18,18,0,1,0,32533
19,19,0,1,0,32508
20,20,0,1,0,32481
21,21,0,1,0,32454
22,22,0,1,0,32424
23,23,0,1,0,32394
24,24,0,1,0,32363
25,25,0,1,0,32330
26,26,0,1,0,32296
27,27,0,1,0,32260
28,28,0,1,0,32224
29,29,0,1,0,32185
30,30,0,1,0,32146
31,31,0,1,0,32106
32,32,0,1,0,32064
33,33,0,1,0,32021
34,34,0,1,0,31977
35,35,0,1,0,31931
36,36,0,1,0,31885
37,37,0,1,0,31836
38,38,0,1,0,31787
39,39,0,1,0,31737
40,40,0,1,0,31685
41,41,0,1,0,31632
42,42,0,1,0,31577
43,43,0,1,0,31522
44,44,0,1,0,31465
45,45,0,1,0,31407
46,46,0,1,0,31347
47,47,0,1,0,31287
48,48,0,1,0,31225
49,49,0,1,0,31163
50,50,0,1,0,31098
51,51,0,1,0,31033
52,52,0,1,0,30966
53,53,0,1,0,30898
54,54,0,1,0,30829
55,55,0,1,0,30758
56,56,0,1,0,30687
57,57,0,1,0,30614
58,58,0,1,0,30540
59,59,0,1,0,30465
60,60,0,1,0,30389
61,61,0,1,0,30311
62,62,0,1,0,30233
63,63,0,1,0,30152
64,64,0,1,0,30072
65,65,0,1,0,29989
66,66,0,1,0,29906
67,67,0,1,0,29820
68,68,0,1,0,29735
69,69,0,1,0,29648
70,70,0,1,0,29559
71,71,0,1,0,29470
72,72,0,1,0,29379
73,73,0,1,0,29288
74,74,0,1,0,29194
75,75,0,1,0,29101
76,76,0,1,0,29005
77,77,0,1,0,28910
78,78,0,1,0,28811
79,79,0,1,0,28714
80,80,0,1,0,28613
81,81,0,1,0,28513
82,82,0,1,0,28410
83,83,0,1,0,28307
84,84,0,1,0,28203
85,85,0,1,0,28097
86,86,0,1,0,27991
87,87,0,1,0,27883
88,88,0,1,0,27775
89,89,0,1,0,27665
90,90,0,1,0,27555
91,91,0,1,0,27442
92,92,0,1,0,27330
93,93,0,1,0,27215
94,94,0,1,0,27101
95,95,0,1,0,26984
