Sample in Buffer,Sample in Window,TRIGGER,dds_m_tvalid_out,ila_probe3[15:0]
0,0,1,0,32766
1,1,0,1,32766
2,2,0,1,32766
3,3,0,1,32766
4,4,0,1,32766
5,5,0,1,32766
6,6,0,1,32766
7,7,0,1,32766
8,8,0,1,32766
9,9,0,1,32766
10,10,0,1,32766
11,11,0,1,32766
12,12,0,1,32766
13,13,0,1,32766
14,14,0,1,32766
15,15,0,1,32765
16,16,0,1,32765
17,17,0,1,32765
18,18,0,1,32765
19,19,0,1,32765
20,20,0,1,32765
21,21,0,1,32765
22,22,0,1,32765
23,23,0,1,32765
24,24,0,1,32765
25,25,0,1,32764
26,26,0,1,32764
27,27,0,1,32764
28,28,0,1,32764
29,29,0,1,32764
30,30,0,1,32764
31,31,0,1,32764
32,32,0,1,32763
33,33,0,1,32763
34,34,0,1,32763
35,35,0,1,32763
36,36,0,1,32763
37,37,0,1,32763
38,38,0,1,32762
39,39,0,1,32762
40,40,0,1,32762
41,41,0,1,32762
42,42,0,1,32762
43,43,0,1,32761
44,44,0,1,32761
45,45,0,1,32761
46,46,0,1,32761
47,47,0,1,32760
48,48,0,1,32760
49,49,0,1,32760
50,50,0,1,32760
51,51,0,1,32759
52,52,0,1,32759
53,53,0,1,32759
54,54,0,1,32759
55,55,0,1,32758
56,56,0,1,32758
57,57,0,1,32758
58,58,0,1,32758
59,59,0,1,32757
60,60,0,1,32757
61,61,0,1,32757
62,62,0,1,32756
63,63,0,1,32756
64,64,0,1,32756
65,65,0,1,32755
66,66,0,1,32755
67,67,0,1,32755
68,68,0,1,32754
69,69,0,1,32754
70,70,0,1,32754
71,71,0,1,32753
72,72,0,1,32753
73,73,0,1,32753
74,74,0,1,32752
75,75,0,1,32752
76,76,0,1,32751
77,77,0,1,32751
78,78,0,1,32751
79,79,0,1,32750
80,80,0,1,32750
81,81,0,1,32749
82,82,0,1,32749
83,83,0,1,32749
84,84,0,1,32748
85,85,0,1,32748
86,86,0,1,32747
87,87,0,1,32747
88,88,0,1,32746
89,89,0,1,32746
90,90,0,1,32746
91,91,0,1,32745
92,92,0,1,32745
93,93,0,1,32744
94,94,0,1,32744
95,95,0,1,32743
96,96,0,1,32743
97,97,0,1,32742
98,98,0,1,32742
99,99,0,1,32741
100,100,0,1,32741
101,101,0,1,32740
102,102,0,1,32740
103,103,0,1,32739
104,104,0,1,32739
105,105,0,1,32738
106,106,0,1,32738
107,107,0,1,32737
108,108,0,1,32737
109,109,0,1,32736
110,110,0,1,32735
111,111,0,1,32735
112,112,0,1,32734
113,113,0,1,32734
114,114,0,1,32733
115,115,0,1,32733
116,116,0,1,32732
117,117,0,1,32731
118,118,0,1,32731
119,119,0,1,32730
120,120,0,1,32730
121,121,0,1,32729
122,122,0,1,32728
123,123,0,1,32728
124,124,0,1,32727
125,125,0,1,32727
126,126,0,1,32726
127,127,0,1,32725
128,128,0,1,32725
129,129,0,1,32724
130,130,0,1,32723
131,131,0,1,32723
132,132,0,1,32722
133,133,0,1,32721
134,134,0,1,32721
135,135,0,1,32720
136,136,0,1,32719
137,137,0,1,32719
138,138,0,1,32718
139,139,0,1,32717
140,140,0,1,32716
141,141,0,1,32716
142,142,0,1,32715
143,143,0,1,32714
144,144,0,1,32714
145,145,0,1,32713
146,146,0,1,32712
147,147,0,1,32711
148,148,0,1,32711
149,149,0,1,32710
150,150,0,1,32709
151,151,0,1,32708
152,152,0,1,32708
153,153,0,1,32707
154,154,0,1,32706
155,155,0,1,32705
156,156,0,1,32705
157,157,0,1,32704
158,158,0,1,32703
159,159,0,1,32702
160,160,0,1,32701
161,161,0,1,32701
162,162,0,1,32700
163,163,0,1,32699
164,164,0,1,32698
165,165,0,1,32697
166,166,0,1,32696
167,167,0,1,32696
168,168,0,1,32695
169,169,0,1,32694
170,170,0,1,32693
171,171,0,1,32692
172,172,0,1,32691
173,173,0,1,32690
174,174,0,1,32690
175,175,0,1,32689
176,176,0,1,32688
177,177,0,1,32687
178,178,0,1,32686
179,179,0,1,32685
180,180,0,1,32684
181,181,0,1,32683
182,182,0,1,32682
183,183,0,1,32681
184,184,0,1,32681
185,185,0,1,32680
186,186,0,1,32679
187,187,0,1,32678
188,188,0,1,32677
189,189,0,1,32676
190,190,0,1,32675
191,191,0,1,32674
192,192,0,1,32673
193,193,0,1,32672
194,194,0,1,32671
195,195,0,1,32670
196,196,0,1,32669
197,197,0,1,32668
198,198,0,1,32667
199,199,0,1,32666
200,200,0,1,32665
201,201,0,1,32664
202,202,0,1,32663
203,203,0,1,32662
204,204,0,1,32661
205,205,0,1,32660
206,206,0,1,32659
207,207,0,1,32658
208,208,0,1,32657
209,209,0,1,32656
210,210,0,1,32655
211,211,0,1,32654
212,212,0,1,32652
213,213,0,1,32651
214,214,0,1,32650
215,215,0,1,32649
216,216,0,1,32648
217,217,0,1,32647
218,218,0,1,32646
219,219,0,1,32645
220,220,0,1,32644
221,221,0,1,32643
222,222,0,1,32642
223,223,0,1,32640
224,224,0,1,32639
225,225,0,1,32638
226,226,0,1,32637
227,227,0,1,32636
228,228,0,1,32635
229,229,0,1,32634
230,230,0,1,32632
231,231,0,1,32631
232,232,0,1,32630
233,233,0,1,32629
234,234,0,1,32628
235,235,0,1,32627
236,236,0,1,32625
237,237,0,1,32624
238,238,0,1,32623
239,239,0,1,32622
240,240,0,1,32621
241,241,0,1,32619
242,242,0,1,32618
243,243,0,1,32617
244,244,0,1,32616
245,245,0,1,32614
246,246,0,1,32613
247,247,0,1,32612
248,248,0,1,32611
249,249,0,1,32610
250,250,0,1,32608
251,251,0,1,32607
252,252,0,1,32606
253,253,0,1,32604
254,254,0,1,32603
255,255,0,1,32602
256,256,0,1,32601
257,257,0,1,32599
258,258,0,1,32598
259,259,0,1,32597
260,260,0,1,32596
261,261,0,1,32594
262,262,0,1,32593
263,263,0,1,32591
264,264,0,1,32590
265,265,0,1,32589
266,266,0,1,32587
267,267,0,1,32586
268,268,0,1,32585
269,269,0,1,32583
270,270,0,1,32582
271,271,0,1,32581
272,272,0,1,32579
273,273,0,1,32578
274,274,0,1,32576
275,275,0,1,32575
276,276,0,1,32574
277,277,0,1,32572
278,278,0,1,32571
279,279,0,1,32570
280,280,0,1,32568
281,281,0,1,32567
282,282,0,1,32565
283,283,0,1,32564
284,284,0,1,32562
285,285,0,1,32561
286,286,0,1,32560
287,287,0,1,32558
288,288,0,1,32557
289,289,0,1,32555
290,290,0,1,32554
291,291,0,1,32552
292,292,0,1,32551
293,293,0,1,32549
294,294,0,1,32548
295,295,0,1,32546
296,296,0,1,32545
297,297,0,1,32543
298,298,0,1,32542
299,299,0,1,32540
300,300,0,1,32539
301,301,0,1,32538
302,302,0,1,32536
303,303,0,1,32535
304,304,0,1,32533
305,305,0,1,32531
306,306,0,1,32530
307,307,0,1,32528
308,308,0,1,32527
309,309,0,1,32525
310,310,0,1,32524
311,311,0,1,32522
312,312,0,1,32521
313,313,0,1,32519
314,314,0,1,32517
315,315,0,1,32516
316,316,0,1,32514
317,317,0,1,32512
318,318,0,1,32511
319,319,0,1,32509
320,320,0,1,32508
321,321,0,1,32506
322,322,0,1,32505
323,323,0,1,32503
324,324,0,1,32501
325,325,0,1,32499
326,326,0,1,32498
327,327,0,1,32496
328,328,0,1,32495
329,329,0,1,32493
330,330,0,1,32491
331,331,0,1,32490
332,332,0,1,32488
333,333,0,1,32486
334,334,0,1,32485
335,335,0,1,32483
336,336,0,1,32481
337,337,0,1,32479
338,338,0,1,32478
339,339,0,1,32476
340,340,0,1,32474
341,341,0,1,32473
342,342,0,1,32471
343,343,0,1,32469
344,344,0,1,32468
345,345,0,1,32466
346,346,0,1,32464
347,347,0,1,32462
348,348,0,1,32460
349,349,0,1,32459
350,350,0,1,32457
351,351,0,1,32455
352,352,0,1,32454
353,353,0,1,32452
354,354,0,1,32450
355,355,0,1,32448
356,356,0,1,32446
357,357,0,1,32444
358,358,0,1,32443
359,359,0,1,32441
360,360,0,1,32439
361,361,0,1,32437
362,362,0,1,32436
363,363,0,1,32434
364,364,0,1,32432
365,365,0,1,32430
366,366,0,1,32428
367,367,0,1,32426
368,368,0,1,32424
369,369,0,1,32423
370,370,0,1,32421
371,371,0,1,32419
372,372,0,1,32417
373,373,0,1,32415
374,374,0,1,32413
375,375,0,1,32412
376,376,0,1,32410
377,377,0,1,32407
378,378,0,1,32406
379,379,0,1,32404
380,380,0,1,32402
381,381,0,1,32400
382,382,0,1,32398
383,383,0,1,32396
384,384,0,1,32394
385,385,0,1,32392
386,386,0,1,32391
387,387,0,1,32388
388,388,0,1,32386
389,389,0,1,32384
390,390,0,1,32382
391,391,0,1,32381
392,392,0,1,32379
393,393,0,1,32377
394,394,0,1,32375
395,395,0,1,32373
396,396,0,1,32371
397,397,0,1,32369
398,398,0,1,32366
399,399,0,1,32365
400,400,0,1,32363
401,401,0,1,32361
402,402,0,1,32359
403,403,0,1,32357
404,404,0,1,32355
405,405,0,1,32353
406,406,0,1,32351
407,407,0,1,32349
408,408,0,1,32346
409,409,0,1,32344
410,410,0,1,32342
411,411,0,1,32340
412,412,0,1,32338
413,413,0,1,32336
414,414,0,1,32334
415,415,0,1,32332
416,416,0,1,32330
417,417,0,1,32328
418,418,0,1,32325
419,419,0,1,32323
420,420,0,1,32321
421,421,0,1,32319
422,422,0,1,32317
423,423,0,1,32315
424,424,0,1,32313
425,425,0,1,32311
426,426,0,1,32309
427,427,0,1,32307
428,428,0,1,32305
429,429,0,1,32302
430,430,0,1,32300
431,431,0,1,32298
432,432,0,1,32296
433,433,0,1,32293
434,434,0,1,32291
435,435,0,1,32289
436,436,0,1,32287
437,437,0,1,32285
438,438,0,1,32283
439,439,0,1,32280
440,440,0,1,32278
441,441,0,1,32276
442,442,0,1,32274
443,443,0,1,32271
444,444,0,1,32269
445,445,0,1,32267
446,446,0,1,32265
447,447,0,1,32263
448,448,0,1,32261
449,449,0,1,32258
450,450,0,1,32256
451,451,0,1,32253
452,452,0,1,32251
453,453,0,1,32249
454,454,0,1,32247
455,455,0,1,32244
456,456,0,1,32242
457,457,0,1,32240
458,458,0,1,32238
459,459,0,1,32235
460,460,0,1,32233
461,461,0,1,32230
462,462,0,1,32228
463,463,0,1,32226
464,464,0,1,32224
465,465,0,1,32221
466,466,0,1,32219
467,467,0,1,32217
468,468,0,1,32214
469,469,0,1,32212
470,470,0,1,32210
471,471,0,1,32207
472,472,0,1,32205
473,473,0,1,32202
474,474,0,1,32200
475,475,0,1,32198
476,476,0,1,32195
477,477,0,1,32193
478,478,0,1,32191
479,479,0,1,32188
480,480,0,1,32186
481,481,0,1,32183
482,482,0,1,32181
483,483,0,1,32178
484,484,0,1,32176
485,485,0,1,32174
486,486,0,1,32171
487,487,0,1,32169
488,488,0,1,32166
489,489,0,1,32164
490,490,0,1,32162
491,491,0,1,32159
