Sample in Buffer,Sample in Window,TRIGGER,spi_rtl_sck_o,spi_rtl_io0_o,spi_rtl_io1_o,spi_rtl_ss_o_0_0,adc_ready,<const0>_1,<const0>_2,<const0>_3,dds_m_tvalid_out,dds_m_reset_out,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>,ila_probe2[15:0],ila_probe3[15:0]
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32766,0000
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
6,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
7,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
8,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
9,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
10,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
11,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
12,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
13,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
14,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
15,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
16,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
17,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
18,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
19,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
20,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
21,21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
22,22,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
23,23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
24,24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
25,25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
26,26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
27,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
28,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32766,0000
29,29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
30,30,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
31,31,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
32,32,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
33,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
34,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
35,35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
36,36,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
37,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
38,38,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
39,39,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
40,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
41,41,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
42,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
43,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
44,44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
45,45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
46,46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
47,47,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
48,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32765,0000
49,49,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
50,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
51,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
52,52,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
53,53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
54,54,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
55,55,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
56,56,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
57,57,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
58,58,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
59,59,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
60,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
61,61,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
62,62,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32764,0000
63,63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
64,64,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
65,65,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
66,66,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
67,67,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
68,68,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
69,69,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
70,70,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
71,71,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
72,72,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
73,73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
74,74,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32763,0000
75,75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
76,76,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
77,77,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
78,78,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
79,79,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
80,80,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
81,81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
82,82,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
83,83,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
84,84,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32762,0000
85,85,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
86,86,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
87,87,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
88,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
89,89,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
90,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
91,91,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
92,92,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
93,93,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32761,0000
94,94,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
95,95,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
96,96,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
97,97,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
98,98,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
99,99,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
100,100,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
101,101,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32760,0000
102,102,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32759,0000
103,103,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32759,0000
