Sample in Buffer,Sample in Window,TRIGGER,adc_ready,dds_m_tvalid_out,ila_probe3[15:0]
0,0,1,0,0,32766
1,1,0,1,1,32760
2,2,0,1,1,31970
3,3,0,1,1,29892
4,4,0,1,1,26610
5,5,0,1,1,22256
6,6,0,1,1,17005
7,7,0,1,1,11070
8,8,0,1,1,4688
9,9,0,1,1,-1882
10,10,0,1,1,-8377
11,11,0,1,1,-14534
12,12,0,1,1,-20105
13,13,0,1,1,-24867
14,14,0,1,1,-28627
15,15,0,1,1,-31234
16,16,0,1,1,-32582
17,17,0,1,1,-32618
18,18,0,1,1,-31340
19,19,0,1,1,-28799
20,20,0,1,1,-25099
21,21,0,1,1,-20387
22,22,0,1,1,-14854
23,23,0,1,1,-8722
24,24,0,1,1,-2240
25,25,0,1,1,4333
26,26,0,1,1,10732
27,27,0,1,1,16698
28,28,0,1,1,21991
29,29,0,1,1,26399
30,30,0,1,1,29743
31,31,0,1,1,31889
32,32,0,1,1,32750
33,33,0,1,1,32292
34,34,0,1,1,30534
35,35,0,1,1,27545
36,36,0,1,1,23446
37,37,0,1,1,18403
38,38,0,1,1,12619
39,39,0,1,1,6326
40,40,0,1,1,-221
41,41,0,1,1,-6760
42,42,0,1,1,-13026
43,43,0,1,1,-18768
44,44,0,1,1,-23753
45,45,0,1,1,-27782
46,46,0,1,1,-30691
47,47,0,1,1,-32365
48,48,0,1,1,-32734
49,49,0,1,1,-31784
50,50,0,1,1,-29555
51,51,0,1,1,-26134
52,52,0,1,1,-21661
53,53,0,1,1,-16315
54,54,0,1,1,-10312
55,55,0,1,1,-3894
56,56,0,1,1,2681
57,57,0,1,1,9149
58,58,0,1,1,15247
59,59,0,1,1,20732
60,60,0,1,1,25381
61,61,0,1,1,29008
62,62,0,1,1,31466
63,63,0,1,1,32657
64,64,0,1,1,32532
65,65,0,1,1,31097
66,66,0,1,1,28409
67,67,0,1,1,24576
68,68,0,1,1,19754
69,69,0,1,1,14136
70,70,0,1,1,7948
71,71,0,1,1,1440
72,72,0,1,1,-5126
73,73,0,1,1,-11485
74,74,0,1,1,-17382
75,75,0,1,1,-22579
76,76,0,1,1,-26866
77,77,0,1,1,-30070
78,78,0,1,1,-32064
79,79,0,1,1,-32765
80,80,0,1,1,-32147
81,81,0,1,1,-30234
82,82,0,1,1,-27103
83,83,0,1,1,-22880
84,84,0,1,1,-17735
85,85,0,1,1,-11876
86,86,0,1,1,-5538
87,87,0,1,1,1022
88,88,0,1,1,7542
89,89,0,1,1,13757
90,90,0,1,1,19419
91,91,0,1,1,24298
92,92,0,1,1,28198
93,93,0,1,1,30963
94,94,0,1,1,32480
95,95,0,1,1,32689
96,96,0,1,1,31580
97,97,0,1,1,29200
98,98,0,1,1,25643
99,99,0,1,1,21054
100,100,0,1,1,15616
101,101,0,1,1,9549
102,102,0,1,1,3098
103,103,0,1,1,-3479
104,104,0,1,1,-9915
105,105,0,1,1,-15952
106,106,0,1,1,-21346
107,107,0,1,1,-25880
108,108,0,1,1,-29372
109,109,0,1,1,-31680
110,110,0,1,1,-32713
111,111,0,1,1,-32427
112,112,0,1,1,-30835
113,113,0,1,1,-28001
114,114,0,1,1,-24039
115,115,0,1,1,-19109
116,116,0,1,1,-13409
117,117,0,1,1,-7168
118,118,0,1,1,-639
119,119,0,1,1,5916
120,120,0,1,1,12232
121,121,0,1,1,18056
122,122,0,1,1,23152
123,123,0,1,1,27316
124,124,0,1,1,30379
125,125,0,1,1,32219
126,126,0,1,1,32761
127,127,0,1,1,31983
128,128,0,1,1,29916
129,129,0,1,1,26644
130,130,0,1,1,22299
131,131,0,1,1,17056
132,132,0,1,1,11126
133,133,0,1,1,4747
134,134,0,1,1,-1823
135,135,0,1,1,-8319
136,136,0,1,1,-14480
137,137,0,1,1,-20058
138,138,0,1,1,-24828
139,139,0,1,1,-28598
140,140,0,1,1,-31216
141,141,0,1,1,-32576
142,142,0,1,1,-32624
143,143,0,1,1,-31357
144,144,0,1,1,-28828
145,145,0,1,1,-25137
146,146,0,1,1,-20434
147,147,0,1,1,-14907
148,148,0,1,1,-8780
149,149,0,1,1,-2299
150,150,0,1,1,4274
151,151,0,1,1,10675
152,152,0,1,1,16647
153,153,0,1,1,21947
154,154,0,1,1,26364
155,155,0,1,1,29718
156,156,0,1,1,31875
157,157,0,1,1,32749
158,158,0,1,1,32302
159,159,0,1,1,30555
160,160,0,1,1,27577
161,161,0,1,1,23488
162,162,0,1,1,18452
163,163,0,1,1,12674
164,164,0,1,1,6385
165,165,0,1,1,-162
166,166,0,1,1,-6702
167,167,0,1,1,-12972
168,168,0,1,1,-18719
169,169,0,1,1,-23712
170,170,0,1,1,-27750
171,171,0,1,1,-30671
172,172,0,1,1,-32355
173,173,0,1,1,-32736
174,174,0,1,1,-31799
175,175,0,1,1,-29580
176,176,0,1,1,-26170
177,177,0,1,1,-21706
178,178,0,1,1,-16367
179,179,0,1,1,-10369
180,180,0,1,1,-3953
181,181,0,1,1,2622
182,182,0,1,1,9091
183,183,0,1,1,15194
184,184,0,1,1,20686
185,185,0,1,1,25343
186,186,0,1,1,28980
187,187,0,1,1,31450
188,188,0,1,1,32652
189,189,0,1,1,32539
190,190,0,1,1,31116
191,191,0,1,1,28439
192,192,0,1,1,24616
193,193,0,1,1,19801
194,194,0,1,1,14189
195,195,0,1,1,8006
196,196,0,1,1,1499
197,197,0,1,1,-5067
198,198,0,1,1,-11430
199,199,0,1,1,-17332
200,200,0,1,1,-22535
201,201,0,1,1,-26831
202,202,0,1,1,-30047
203,203,0,1,1,-32051
204,204,0,1,1,-32765
205,205,0,1,1,-32159
206,206,0,1,1,-30257
207,207,0,1,1,-27136
208,208,0,1,1,-22922
209,209,0,1,1,-17785
210,210,0,1,1,-11931
211,211,0,1,1,-5597
212,212,0,1,1,963
213,213,0,1,1,7484
214,214,0,1,1,13703
215,215,0,1,1,19371
216,216,0,1,1,24258
217,217,0,1,1,28168
218,218,0,1,1,30943
219,219,0,1,1,32472
220,220,0,1,1,32693
221,221,0,1,1,31596
222,222,0,1,1,29227
223,223,0,1,1,25680
224,224,0,1,1,21099
225,225,0,1,1,15668
226,226,0,1,1,9606
227,227,0,1,1,3157
228,228,0,1,1,-3419
229,229,0,1,1,-9858
230,230,0,1,1,-15900
231,231,0,1,1,-21301
232,232,0,1,1,-25844
233,233,0,1,1,-29345
234,234,0,1,1,-31665
235,235,0,1,1,-32709
236,236,0,1,1,-32436
237,237,0,1,1,-30855
238,238,0,1,1,-28032
239,239,0,1,1,-24080
240,240,0,1,1,-19157
241,241,0,1,1,-13463
242,242,0,1,1,-7227
243,243,0,1,1,-699
244,244,0,1,1,5857
245,245,0,1,1,12177
246,246,0,1,1,18006
247,247,0,1,1,23110
248,248,0,1,1,27283
249,249,0,1,1,30357
250,250,0,1,1,32208
251,251,0,1,1,32762
252,252,0,1,1,31995
253,253,0,1,1,29940
254,254,0,1,1,26679
255,255,0,1,1,22343
256,256,0,1,1,17107
257,257,0,1,1,11182
258,258,0,1,1,4806
259,259,0,1,1,-1763
260,260,0,1,1,-8261
261,261,0,1,1,-14427
262,262,0,1,1,-20011
263,263,0,1,1,-24789
264,264,0,1,1,-28569
265,265,0,1,1,-31197
266,266,0,1,1,-32569
267,267,0,1,1,-32629
268,268,0,1,1,-31375
269,269,0,1,1,-28856
270,270,0,1,1,-25175
271,271,0,1,1,-20480
272,272,0,1,1,-14960
273,273,0,1,1,-8837
274,274,0,1,1,-2359
275,275,0,1,1,4215
276,276,0,1,1,10619
277,277,0,1,1,16595
278,278,0,1,1,21903
279,279,0,1,1,26328
280,280,0,1,1,29693
281,281,0,1,1,31861
282,282,0,1,1,32747
283,283,0,1,1,32312
284,284,0,1,1,30577
285,285,0,1,1,27609
286,286,0,1,1,23529
287,287,0,1,1,18502
288,288,0,1,1,12729
289,289,0,1,1,6443
290,290,0,1,1,-102
291,291,0,1,1,-6643
292,292,0,1,1,-12917
293,293,0,1,1,-18670
294,294,0,1,1,-23671
295,295,0,1,1,-27719
296,296,0,1,1,-30649
297,297,0,1,1,-32346
298,298,0,1,1,-32739
299,299,0,1,1,-31813
300,300,0,1,1,-29606
301,301,0,1,1,-26206
302,302,0,1,1,-21751
303,303,0,1,1,-16419
304,304,0,1,1,-10426
305,305,0,1,1,-4012
306,306,0,1,1,2562
307,307,0,1,1,9034
308,308,0,1,1,15142
309,309,0,1,1,20639
310,310,0,1,1,25306
311,311,0,1,1,28952
312,312,0,1,1,31433
313,313,0,1,1,32647
314,314,0,1,1,32546
315,315,0,1,1,31134
316,316,0,1,1,28468
317,317,0,1,1,24655
318,318,0,1,1,19849
319,319,0,1,1,14243
320,320,0,1,1,8064
321,321,0,1,1,1559
322,322,0,1,1,-5008
323,323,0,1,1,-11374
324,324,0,1,1,-17281
325,325,0,1,1,-22492
326,326,0,1,1,-26797
327,327,0,1,1,-30023
328,328,0,1,1,-32039
329,329,0,1,1,-32764
330,330,0,1,1,-32170
331,331,0,1,1,-30280
332,332,0,1,1,-27170
333,333,0,1,1,-22965
334,334,0,1,1,-17835
335,335,0,1,1,-11987
336,336,0,1,1,-5656
337,337,0,1,1,903
338,338,0,1,1,7426
339,339,0,1,1,13649
340,340,0,1,1,19323
341,341,0,1,1,24218
342,342,0,1,1,28137
343,343,0,1,1,30923
344,344,0,1,1,32464
345,345,0,1,1,32696
346,346,0,1,1,31612
347,347,0,1,1,29254
348,348,0,1,1,25717
349,349,0,1,1,21145
350,350,0,1,1,15721
351,351,0,1,1,9663
352,352,0,1,1,3216
353,353,0,1,1,-3360
354,354,0,1,1,-9801
355,355,0,1,1,-15847
356,356,0,1,1,-21255
357,357,0,1,1,-25807
358,358,0,1,1,-29319
359,359,0,1,1,-31650
360,360,0,1,1,-32706
361,361,0,1,1,-32444
362,362,0,1,1,-30875
363,363,0,1,1,-28063
364,364,0,1,1,-24120
365,365,0,1,1,-19206
366,366,0,1,1,-13518
367,367,0,1,1,-7285
368,368,0,1,1,-759
369,369,0,1,1,5798
370,370,0,1,1,12121
371,371,0,1,1,17956
372,372,0,1,1,23068
373,373,0,1,1,27250
374,374,0,1,1,30335
375,375,0,1,1,32197
376,376,0,1,1,32763
377,377,0,1,1,32008
378,378,0,1,1,29965
379,379,0,1,1,26714
380,380,0,1,1,22387
381,381,0,1,1,17158
382,382,0,1,1,11238
383,383,0,1,1,4865
384,384,0,1,1,-1703
385,385,0,1,1,-8204
386,386,0,1,1,-14373
387,387,0,1,1,-19964
388,388,0,1,1,-24750
389,389,0,1,1,-28539
390,390,0,1,1,-31179
391,391,0,1,1,-32563
392,392,0,1,1,-32635
393,393,0,1,1,-31392
394,394,0,1,1,-28884
395,395,0,1,1,-25213
396,396,0,1,1,-20527
397,397,0,1,1,-15013
398,398,0,1,1,-8895
399,399,0,1,1,-2418
400,400,0,1,1,4156
401,401,0,1,1,10563
402,402,0,1,1,16544
403,403,0,1,1,21858
404,404,0,1,1,26293
405,405,0,1,1,29668
406,406,0,1,1,31847
407,407,0,1,1,32744
408,408,0,1,1,32322
409,409,0,1,1,30598
410,410,0,1,1,27641
411,411,0,1,1,23571
412,412,0,1,1,18551
413,413,0,1,1,12784
414,414,0,1,1,6502
415,415,0,1,1,-42
416,416,0,1,1,-6585
417,417,0,1,1,-12862
418,418,0,1,1,-18621
419,419,0,1,1,-23630
420,420,0,1,1,-27687
421,421,0,1,1,-30628
422,422,0,1,1,-32336
423,423,0,1,1,-32741
424,424,0,1,1,-31827
425,425,0,1,1,-29632
426,426,0,1,1,-26242
427,427,0,1,1,-21795
428,428,0,1,1,-16470
429,429,0,1,1,-10482
430,430,0,1,1,-4072
431,431,0,1,1,2503
432,432,0,1,1,8977
433,433,0,1,1,15089
434,434,0,1,1,20593
435,435,0,1,1,25268
436,436,0,1,1,28924
437,437,0,1,1,31416
438,438,0,1,1,32642
439,439,0,1,1,32553
440,440,0,1,1,31153
441,441,0,1,1,28498
442,442,0,1,1,24694
443,443,0,1,1,19896
444,444,0,1,1,14297
445,445,0,1,1,8121
446,446,0,1,1,1619
447,447,0,1,1,-4949
448,448,0,1,1,-11318
449,449,0,1,1,-17230
450,450,0,1,1,-22449
451,451,0,1,1,-26763
452,452,0,1,1,-29999
453,453,0,1,1,-32026
454,454,0,1,1,-32764
455,455,0,1,1,-32181
456,456,0,1,1,-30302
457,457,0,1,1,-27203
458,458,0,1,1,-23007
459,459,0,1,1,-17885
460,460,0,1,1,-12043
461,461,0,1,1,-5715
462,462,0,1,1,843
463,463,0,1,1,7367
464,464,0,1,1,13595
465,465,0,1,1,19274
466,466,0,1,1,24178
467,467,0,1,1,28107
468,468,0,1,1,30904
469,469,0,1,1,32456
470,470,0,1,1,32700
471,471,0,1,1,31628
472,472,0,1,1,29281
473,473,0,1,1,25754
474,474,0,1,1,21191
475,475,0,1,1,15773
476,476,0,1,1,9720
477,477,0,1,1,3276
478,478,0,1,1,-3301
479,479,0,1,1,-9744
480,480,0,1,1,-15795
481,481,0,1,1,-21210
482,482,0,1,1,-25770
483,483,0,1,1,-29292
484,484,0,1,1,-31634
485,485,0,1,1,-32702
486,486,0,1,1,-32452
487,487,0,1,1,-30895
488,488,0,1,1,-28094
489,489,0,1,1,-24161
490,490,0,1,1,-19254
491,491,0,1,1,-13572
492,492,0,1,1,-7343
493,493,0,1,1,-818
494,494,0,1,1,5739
495,495,0,1,1,12066
496,496,0,1,1,17906
497,497,0,1,1,23025
498,498,0,1,1,27217
499,499,0,1,1,30312
500,500,0,1,1,32186
501,501,0,1,1,32763
502,502,0,1,1,32021
503,503,0,1,1,29989
504,504,0,1,1,26748
505,505,0,1,1,22430
506,506,0,1,1,17209
507,507,0,1,1,11294
508,508,0,1,1,4924
509,509,0,1,1,-1644
510,510,0,1,1,-8146
511,511,0,1,1,-14319
512,512,0,1,1,-19916
513,513,0,1,1,-24711
514,514,0,1,1,-28510
515,515,0,1,1,-31161
516,516,0,1,1,-32556
517,517,0,1,1,-32640
518,518,0,1,1,-31409
519,519,0,1,1,-28913
520,520,0,1,1,-25252
521,521,0,1,1,-20573
522,522,0,1,1,-15066
523,523,0,1,1,-8952
524,524,0,1,1,-2478
525,525,0,1,1,4097
526,526,0,1,1,10506
527,527,0,1,1,16492
528,528,0,1,1,21814
529,529,0,1,1,26257
530,530,0,1,1,29642
531,531,0,1,1,31833
532,532,0,1,1,32742
533,533,0,1,1,32332
534,534,0,1,1,30619
535,535,0,1,1,27673
536,536,0,1,1,23612
537,537,0,1,1,18600
538,538,0,1,1,12839
539,539,0,1,1,6560
540,540,0,1,1,17
541,541,0,1,1,-6526
542,542,0,1,1,-12807
543,543,0,1,1,-18572
544,544,0,1,1,-23588
545,545,0,1,1,-27655
