Sample in Buffer,Sample in Window,TRIGGER,dds_m_reset_out,ila_probe3[15:0]
0,0,1,0,32766
1,1,0,0,32766
2,2,0,0,32766
3,3,0,0,32766
4,4,0,0,32766
5,5,0,0,32766
6,6,0,0,32766
7,7,0,0,32766
8,8,0,0,32766
9,9,0,0,32766
10,10,0,0,32766
11,11,0,0,32766
12,12,0,0,32766
13,13,0,0,32766
14,14,0,0,32766
15,15,0,0,32766
16,16,0,0,32766
17,17,0,0,32766
18,18,0,0,32766
19,19,0,0,32766
20,20,0,0,32766
21,21,0,0,32766
22,22,0,0,32766
23,23,0,0,32766
24,24,0,0,32766
25,25,0,0,32766
26,26,0,0,32766
27,27,0,0,32766
28,28,0,0,32766
29,29,0,0,32766
30,30,0,0,32766
31,31,0,0,32766
32,32,0,0,32766
33,33,0,0,32766
34,34,0,0,32766
35,35,0,0,32766
36,36,0,0,32766
37,37,0,0,32766
38,38,0,0,32766
39,39,0,0,32766
40,40,0,0,32766
41,41,0,0,32766
42,42,0,0,32766
43,43,0,0,32766
44,44,0,0,32766
45,45,0,0,32766
46,46,0,0,32766
47,47,0,0,32766
48,48,0,0,32766
49,49,0,0,32766
50,50,0,0,32766
51,51,0,0,32766
52,52,0,0,32766
53,53,0,0,32766
54,54,0,0,32766
55,55,0,0,32766
56,56,0,0,32766
57,57,0,0,32765
58,58,0,0,32765
59,59,0,0,32765
60,60,0,0,32765
61,61,0,0,32765
62,62,0,0,32765
63,63,0,0,32765
64,64,0,0,32765
65,65,0,0,32765
66,66,0,0,32765
67,67,0,0,32765
68,68,0,0,32765
69,69,0,0,32765
70,70,0,0,32765
71,71,0,0,32765
72,72,0,0,32765
73,73,0,0,32765
74,74,0,0,32765
75,75,0,0,32765
76,76,0,0,32765
77,77,0,0,32765
78,78,0,0,32765
79,79,0,0,32765
80,80,0,0,32765
81,81,0,0,32765
82,82,0,0,32765
83,83,0,0,32765
84,84,0,0,32765
85,85,0,0,32765
86,86,0,0,32765
87,87,0,0,32765
88,88,0,0,32765
89,89,0,0,32765
90,90,0,0,32765
91,91,0,0,32765
92,92,0,0,32765
93,93,0,0,32765
94,94,0,0,32765
95,95,0,0,32765
96,96,0,0,32765
97,97,0,0,32765
98,98,0,0,32764
99,99,0,0,32764
100,100,0,0,32764
101,101,0,0,32764
102,102,0,0,32764
103,103,0,0,32764
104,104,0,0,32764
105,105,0,0,32764
106,106,0,0,32764
107,107,0,0,32764
108,108,0,0,32764
109,109,0,0,32764
110,110,0,0,32764
111,111,0,0,32764
112,112,0,0,32764
113,113,0,0,32764
114,114,0,0,32764
115,115,0,0,32764
116,116,0,0,32764
117,117,0,0,32764
118,118,0,0,32764
119,119,0,0,32764
120,120,0,0,32764
121,121,0,0,32764
122,122,0,0,32764
123,123,0,0,32764
124,124,0,0,32764
125,125,0,0,32764
126,126,0,0,32763
127,127,0,0,32763
128,128,0,0,32763
129,129,0,0,32763
130,130,0,0,32763
131,131,0,0,32763
132,132,0,0,32763
133,133,0,0,32763
134,134,0,0,32763
135,135,0,0,32763
136,136,0,0,32763
137,137,0,0,32763
138,138,0,0,32763
139,139,0,0,32763
140,140,0,0,32763
141,141,0,0,32763
142,142,0,0,32763
143,143,0,0,32763
